,Era,Nationality,last_name,first_name,birth_date,death_date
44,20th Century,American ,Gershwin,George,1898-09-26,1937-07-11
45,Romantic,French ,Bizet,Georges,1838-10-25,1875-06-03
46,Post-Romantic,Italian ,Puccini,Giacomo,1858-12-22,1924-11-29
47,20th Century,French,Bécaud,Gilbert,1927-10-24,2001-12-18
48,Romantic,Italian ,Rossini,Gioachino,1792-02-29,1868-11-13
49,Romantic,Italian,Verdi,Giuseppe,1813-10-10,1901-01-27
50,20th Century,Bosnian ,Bregović,Goran,1950-03-22,
51,20th Century,English ,Holst,Gustav,1874-09-21,1934-05-25
52,Post-Romantic,German ,Mahler,Gustav,1860-07-07,1911-05-18
53,20th Century,German ,Zimmer,Hans,1957-09-12,
54,Contemporary,British ,Gregson-Williams,Harry,1961-12-13,
55,Romantic,French ,Berlioz,Hector,1803-12-11,1869-03-08
56,20th Century,Brazilian,Villa-Lobos,Heitor,1887-03-05,1959-11-17
57,Baroque,English ,Purcell,Henry,1659-09-10,1695-11-21
58,20th Century,Canadian ,Shore,Howard,1946-10-18,
59,20th Century,Russian ,Stravinsky,Igor,1882-06-17,1971-04-06
60,20th Century,American ,Berlin,Irving,1888-05-11,1989-09-22
61,Post-Romantic,Spanish ,Albéniz,Isaac,1860-05-29,1909-05-18
62,Baroque,French,Lully,Jean Baptiste,1632-11-28,1687-03-22
63,Baroque,Genevan,Rousseau,Jean Jacques,1712-06-28,1778-07-02
64,20th Century,Finnish,Sibelius,Jean,1865-12-08,1957-09-20
65,Baroque,French ,Rameau,Jean-Philippe,1683-09-25,1764-09-12
66,20th Century,American ,Goldsmith,Jerry,1929-02-10,2004-07-21
67,20th Century,American ,Steinman,Jim,1947-11-01,
68,20th Century,Spanish,Rodrigo,Joaquin,1901-11-22,1999-07-06
69,Contemporary,Japanese,Hisaishi,Joe,1950-12-06,
70,Baroque,German,Pachelbel,Johann,1653-09-01,1706-03-09
71,Baroque,German ,Bach,Johann Sebastian,1685-03-31,1750-07-28
72,Romantic,German ,Brahms,Johannes,1833-05-07,1897-04-03
73,20th Century,English ,Barry,John,1933-11-03,2011-01-30
74,20th Century,American ,Cage,John,1912-09-05,1992-08-12
75,Renaissance,English ,Dowland,John,1563-09-15,1626-02-20
76,20th Century,American ,Sousa,John Philip,1854-11-06,1932-03-06
77,Contemporary,English,Powell,John,1963-09-18,
78,20th Century,English,Rutter,John,1945-09-24,
79,20th Century,English,Tavener,John,1944-01-28,2013-11-12
80,20th Century,American ,Williams,John,1932-02-08,
81,Contemporary,American,Zorn,John,1953-09-02,
82,Classical,Austrian,Haydn,Franz Joseph,1732-03-31,1809-05-31
83,Romantic,Mexican,Rosas,Juventino,1868-01-25,1894-07-09
84,20th Century,Welsh,Jenkins,Karl,1944-02-17,
85,20th Century,German ,Stockhausen,Karlheinz,1928-08-22,2007-12-05
86,Contemporary,German ,Badelt,Klaus,1967-06-12,
87,Contemporary,Japanese ,Kondo,Koji,1961-08-13,
88,20th Century,Polish ,Penderecki,Krzysztof,1933-11-23,
89,20th Century,German ,Weill,Kurt,1900-03-02,1950-04-03
90,20th Century,American ,Young,La Monte,1935-10-14,
91,20th Century,American ,Bernstein,Leonard,1918-08-25,1990-10-14
92,20th Century,Italian,Einaudi,Ludovico,1955-11-23,
93,Classical,German ,Van Beethoven,Ludwig,1770-12-17,1827-03-26
94,20th Century,Spanish,De Falla,Manuel,1876-11-23,1946-11-14
95,Contemporary,American ,Hamlisch,Marvin,1944-06-02,2012-08-06
96,20th Century,French,Ravel,Maurice,1875-03-07,1937-12-28
97,Contemporary,American ,Giacchino,Michael,1967-10-10,
98,20th Century,American ,Kamen,Michael,1948-04-15,2003-11-18
99,20th Century,English ,Nyman,Michael,1944-03-23,
100,20th Century,French ,Legrand,Michel,1932-02-24,
101,Contemporary,English ,Oldfield,Mike,1953-05-15,
102,Romantic,Italian ,Paganini,Niccolò,1782-10-27,1840-05-27
103,20th Century,Italian ,Rota,Nino,1911-12-03,1979-04-10
104,Contemporary,Japanese ,Uematsu,Nobuo,1959-03-21,
105,20th Century,French ,Messiaen,Olivier,1908-12-10,1992-04-27
106,20th Century,American ,Glass,Philip,1937-01-31,
107,20th Century,French ,Boulez,Pierre,1925-03-26,
108,Romantic,Russian,Tchaikovsky,Pyotr Ilyich,1840-05-07,1893-11-06
109,20th Century,English ,Vaughan Williams,Ralph,1872-10-12,1958-08-26
110,21st Century,German-Iranian,Djawadi,Ramin,1974-07-19,
111,Post-Romantic,German ,Strauss,Richard,1864-06-11,1949-09-08
112,Romantic,German ,Wagner,Richard,1813-05-22,1883-02-13
113,Romantic,German ,Schumann,Robert,1810-06-08,1856-07-29
114,20th Century,American ,Barber,Samuel,1910-03-09,1981-01-23
115,Modern,American ,Joplin,Scott,1867-01-01,1917-04-01
116,20th Century,Russian,Prokofiev,Sergei,1891-04-27,1953-03-05
117,20th Century,American ,Sondheim,Stephen,1930-03-22,
118,Contemporary,American ,Jablonsky,Steve,1970-10-09,
119,20th Century,American ,Reich,Steve,1936-10-03,
120,20th Century,American ,Riley,Terry,1935-06-24,
121,Renaissance,English,Tallis,Thomas,1505-01-01,1585-12-03
122,20th Century,American ,Handy,W. C.,1873-11-16,1958-03-28
123,Baroque,English ,Byrd,William,1543-01-01,1623-07-04
124,Contemporary,Belgian ,Mertens,Wim,1953-05-14,
125,Classical,Austrian,Mozart,Wolfgang Amadeus,1756-01-27,1791-12-05
126,Contemporary,Japanese ,Kanno,Yoko,1964-03-19,
127,20th Century,Czech ,Janáček,Leoš,1854-07-03,1928-08-12
